,Domain,Phylum,Class,Order,Family,Genus,Species
OUT644,B,Small,2,Non-Bitter,Less-bitter,Beta,14
OUT645,B,Medium,2,Non-Bitter,Less-bitter,Beta,8
OUT646,B,Medium,2,Non-Bitter,Less-bitter,Beta,7
OUT647,B,Medium,2,Non-Bitter,More-Bitter,Beta,5
OUT648,B,Large,8,Non-Bitter,Less-bitter,Beta,5
OUT649,NB,Medium,1,Non-Bitter,Less-bitter,Alphas2,8
OUT650,NB,Medium,1,Non-Bitter,Less-bitter,Alphas2,4
OUT651,B,Small,2,Non-Bitter,Less-bitter,Other,14
OUT652,I,Small,1,Non-Bitter,Less-bitter,Alphas2,10
OUT653,NB,Medium,1,Non-Bitter,Less-bitter,Alphas2,11
OUT654,NB,Medium,1,Non-Bitter,Less-bitter,Alphas2,10
OUT655,B,Medium,2,Non-Bitter,Less-bitter,Kappa,7
OUT656,NB,Medium,0,Bitter,Less-bitter,Alphas2,9
OUT657,I,Medium,0,Non-Bitter,Less-bitter,Alphas2,5
OUT658,NB,Medium,1,Bitter,Less-bitter,Alphas1,13
OUT659,NB,Medium,0,Non-Bitter,Less-bitter,Alphas2,10
OUT660,B,Medium,3,Non-Bitter,Less-bitter,Beta,12
OUT661,B,Medium,3,Non-Bitter,Less-bitter,Beta,12
OUT662,I,Medium,4,Non-Bitter,More-Bitter,Beta,11
OUT663,B,Medium,6,Non-Bitter,More-Bitter,Beta,5
OUT664,B,Medium,7,Non-Bitter,More-Bitter,Beta,7
OUT665,B,Medium,7,Non-Bitter,More-Bitter,Beta,6
OUT666,B,Medium,7,Non-Bitter,More-Bitter,Beta,10
OUT667,B,Medium,7,Non-Bitter,Less-bitter,Beta,4
OUT668,NB,Small,1,Bitter,Less-bitter,Beta,14
OUT669,NB,Medium,1,Bitter,Less-bitter,Beta,7
OUT670,I,Medium,1,Non-Bitter,Less-bitter,Kappa,10
OUT671,B,Medium,1,Non-Bitter,Less-bitter,Kappa,4
OUT672,B,Small,1,Bitter,Less-bitter,Alphas1,8
OUT673,B,Small,2,Bitter,Less-bitter,Alphas1,9
OUT674,B,Medium,2,Bitter,Less-bitter,Alphas1,8
OUT675,B,Medium,2,Bitter,Less-bitter,Alphas1,13
OUT676,B,Small,4,Bitter,Less-bitter,Beta,13
OUT677,B,Medium,5,Bitter,Less-bitter,Beta,7
OUT678,B,Small,3,Bitter,Less-bitter,Beta,13
OUT679,B,Small,3,Bitter,Less-bitter,Beta,9
OUT680,B,Medium,4,Bitter,More-Bitter,Beta,13
OUT681,B,Medium,4,Bitter,Less-bitter,Beta,14
OUT682,B,Small,3,Bitter,Less-bitter,Beta,14
OUT683,B,Small,2,Non-Bitter,Less-bitter,Other,10
OUT684,B,Small,2,Bitter,Less-bitter,Alphas1,4
OUT685,B,Small,2,Non-Bitter,Less-bitter,Alphas2,12
OUT686,B,Small,3,Bitter,Less-bitter,Beta,9
OUT687,NB,Small,2,Non-Bitter,Less-bitter,Alphas1,4
OUT688,B,Small,4,Bitter,Less-bitter,Other,4
OUT689,B,Small,3,Bitter,Less-bitter,Beta,14
OUT690,B,Small,3,Bitter,More-Bitter,Beta,14
OUT691,B,Medium,3,Non-Bitter,Less-bitter,Kappa,9
OUT692,B,Small,3,Bitter,Less-bitter,Other,11
OUT693,B,Small,3,Non-Bitter,Less-bitter,Beta,4
OUT694,B,Small,1,Non-Bitter,Less-bitter,Alphas2,7
OUT695,B,Small,1,Non-Bitter,Less-bitter,Alphas1,14
OUT696,I,Small,1,Non-Bitter,Less-bitter,Alphas1,10
OUT697,B,Small,1,Non-Bitter,Less-bitter,Alphas1,4
OUT698,B,Small,2,Bitter,Less-bitter,Beta,8
OUT699,B,Medium,3,Bitter,Less-bitter,Beta,9
OUT700,B,Medium,4,Bitter,Less-bitter,Beta,13
OUT701,B,Medium,4,Bitter,Less-bitter,Beta,8
OUT702,B,Medium,3,Bitter,Less-bitter,Beta,9
OUT703,B,Small,3,Bitter,Less-bitter,Beta,12
OUT704,B,Small,3,Bitter,Less-bitter,Beta,6
OUT705,B,Medium,4,Bitter,Less-bitter,Beta,11
OUT706,B,Medium,4,Bitter,Less-bitter,Beta,14
OUT707,B,Small,1,Non-Bitter,Less-bitter,Alphas2,9
OUT708,B,Small,2,Non-Bitter,Less-bitter,Alphas2,13
OUT709,B,Small,2,Non-Bitter,Less-bitter,Alphas2,4
OUT710,NB,Medium,0,Non-Bitter,Less-bitter,Alphas1,11
OUT711,B,Small,1,Bitter,Less-bitter,Beta,13
OUT712,I,Small,2,Bitter,Less-bitter,Beta,14
OUT713,I,Small,2,Bitter,Less-bitter,Beta,13
OUT714,I,Medium,3,Bitter,Less-bitter,Beta,12
OUT715,B,Medium,3,Bitter,Less-bitter,Beta,14
OUT716,B,Medium,4,Bitter,More-Bitter,Beta,12
OUT717,B,Medium,4,Bitter,More-Bitter,Beta,12
OUT718,B,Medium,4,Bitter,More-Bitter,Beta,10
OUT719,B,Medium,4,Bitter,Less-bitter,Beta,10
OUT720,NB,Small,1,Non-Bitter,Less-bitter,Alphas1,4
OUT721,NB,Small,1,Non-Bitter,Less-bitter,Alphas1,12
OUT722,NB,Small,1,Non-Bitter,Less-bitter,Alphas1,6
OUT723,NB,Small,1,Non-Bitter,Less-bitter,Alphas1,4
OUT724,B,Medium,2,Bitter,Less-bitter,Alphas2,14
OUT725,B,Medium,2,Bitter,Less-bitter,Alphas2,13
OUT726,B,Medium,2,Bitter,More-Bitter,Alphas2,13
OUT727,I,Medium,2,Bitter,More-Bitter,Alphas2,13
OUT728,I,Medium,2,Bitter,More-Bitter,Alphas2,9
OUT729,NB,Medium,2,Bitter,Less-bitter,Alphas2,6
OUT730,B,Medium,2,Non-Bitter,Less-bitter,Alphas2,4
OUT731,B,Medium,2,Non-Bitter,Less-bitter,Alphas2,6
OUT732,NB,Medium,1,Non-Bitter,Less-bitter,Alphas1,13
OUT733,NB,Medium,1,Non-Bitter,Less-bitter,Alphas1,10
OUT734,NB,Medium,1,Non-Bitter,Less-bitter,Alphas1,6
OUT735,NB,Medium,1,Non-Bitter,Less-bitter,Alphas1,9
OUT736,B,Small,1,Non-Bitter,Less-bitter,Alphas2,14
OUT737,B,Medium,1,Non-Bitter,Less-bitter,Alphas2,6
OUT738,NB,Small,0,Non-Bitter,Less-bitter,Alphas1,4
OUT739,NB,Medium,1,Bitter,Less-bitter,Alphas1,9
OUT740,B,Small,1,Bitter,Less-bitter,Alphas1,9
OUT741,I,Medium,3,Non-Bitter,More-Bitter,Beta,6
OUT742,B,Medium,6,Bitter,More-Bitter,Beta,8
OUT743,B,Medium,6,Bitter,Less-bitter,Beta,4
OUT744,B,Small,2,Non-Bitter,Less-bitter,Other,14
OUT745,B,Medium,4,Non-Bitter,Less-bitter,Beta,14
OUT746,B,Medium,4,Non-Bitter,Less-bitter,Beta,14
OUT747,B,Medium,4,Non-Bitter,Less-bitter,Beta,5
OUT748,B,Medium,5,Non-Bitter,Less-bitter,Beta,10
OUT749,NB,Medium,3,Non-Bitter,Less-bitter,Other,4
OUT750,NB,Medium,0,Non-Bitter,Less-bitter,Beta,8
OUT751,NB,Medium,1,Non-Bitter,Less-bitter,Beta,7
OUT752,NB,Medium,1,Bitter,More-Bitter,Beta,12
OUT753,NB,Medium,1,Bitter,More-Bitter,Beta,6
OUT754,NB,Medium,1,Bitter,Less-bitter,Beta,5
OUT755,NB,Medium,1,Bitter,Less-bitter,Beta,6
OUT756,NB,Medium,1,Bitter,Less-bitter,Beta,11
OUT757,I,Small,2,Non-Bitter,Less-bitter,Beta,12
OUT758,NB,Medium,0,Bitter,More-Bitter,Beta,8
OUT759,B,Medium,4,Bitter,More-Bitter,Beta,13
OUT760,B,Medium,4,Bitter,More-Bitter,Beta,9
OUT761,B,Medium,5,Bitter,More-Bitter,Beta,8
OUT762,B,Medium,5,Bitter,More-Bitter,Beta,7
OUT763,I,Medium,6,Non-Bitter,Less-bitter,Beta,5
OUT764,NB,Medium,1,Bitter,Less-bitter,Beta,13
OUT765,NB,Medium,1,Bitter,Less-bitter,Beta,4
OUT766,B,Small,3,Non-Bitter,Less-bitter,Beta,14
OUT767,B,Small,3,Bitter,Less-bitter,Beta,14
OUT768,B,Medium,3,Bitter,Less-bitter,Beta,14
OUT769,B,Medium,3,Bitter,Less-bitter,Beta,9
OUT770,B,Medium,4,Bitter,Less-bitter,Beta,13
OUT771,B,Medium,4,Bitter,More-Bitter,Beta,14
OUT772,B,Medium,4,Bitter,More-Bitter,Beta,6
OUT773,B,Medium,4,Bitter,More-Bitter,Beta,13
OUT774,B,Medium,4,Bitter,More-Bitter,Beta,9
OUT775,B,Medium,4,Bitter,More-Bitter,Beta,11
OUT776,B,Medium,4,Bitter,More-Bitter,Beta,7
OUT777,B,Medium,4,Bitter,More-Bitter,Beta,6
OUT778,B,Medium,4,Bitter,More-Bitter,Beta,4
OUT779,B,Medium,4,Bitter,More-Bitter,Beta,9
OUT780,B,Medium,4,Bitter,More-Bitter,Beta,4
OUT781,I,Medium,4,Bitter,More-Bitter,Beta,7
OUT782,I,Medium,4,Bitter,More-Bitter,Beta,5
OUT783,B,Medium,4,Bitter,More-Bitter,Beta,7
OUT784,B,Medium,5,Bitter,More-Bitter,Beta,5
OUT785,B,Medium,5,Bitter,Less-bitter,Beta,7
OUT786,NB,Small,1,Bitter,Less-bitter,Beta,14
OUT787,B,Small,1,Bitter,Less-bitter,Beta,10
OUT788,B,Small,1,Bitter,Less-bitter,Beta,4
OUT789,B,Medium,1,Bitter,Less-bitter,Beta,4
OUT790,B,Medium,1,Bitter,Less-bitter,Beta,4
OUT791,B,Medium,1,Bitter,Less-bitter,Beta,6
OUT792,NB,Small,0,Bitter,Less-bitter,Beta,4
OUT793,NB,Medium,1,Bitter,Less-bitter,Beta,8
OUT794,NB,Medium,1,Bitter,Less-bitter,Beta,8
OUT795,NB,Medium,1,Bitter,Less-bitter,Beta,5
OUT796,NB,Medium,0,Bitter,Less-bitter,Alphas2,7
OUT797,NB,Medium,0,Bitter,Less-bitter,Alphas2,11
OUT798,NB,Small,2,Non-Bitter,Less-bitter,Kappa,11
OUT799,B,Small,2,Non-Bitter,Less-bitter,Kappa,14
OUT800,B,Small,0,Non-Bitter,Less-bitter,Beta,12
OUT801,B,Medium,0,Non-Bitter,Less-bitter,Beta,14
OUT802,B,Medium,0,Non-Bitter,Less-bitter,Beta,13
OUT803,B,Small,0,Non-Bitter,Less-bitter,Other,4
OUT804,I,Small,2,Bitter,Less-bitter,Alphas2,4
OUT805,B,Medium,2,Bitter,Less-bitter,Alphas2,4
OUT806,I,Medium,2,Bitter,Less-bitter,Alphas2,9
OUT807,B,Small,2,Bitter,Less-bitter,Alphas1,14
OUT808,B,Medium,2,Bitter,Less-bitter,Alphas1,14
OUT809,B,Medium,2,Bitter,Less-bitter,Alphas1,14
OUT810,NB,Medium,2,Bitter,Less-bitter,Alphas1,14
OUT811,B,Medium,3,Bitter,Less-bitter,Alphas1,11
OUT812,I,Medium,3,Bitter,Less-bitter,Alphas1,14
OUT813,I,Medium,3,Bitter,More-Bitter,Alphas1,14
OUT814,I,Medium,3,Bitter,More-Bitter,Alphas1,5
OUT815,B,Medium,3,Bitter,More-Bitter,Alphas1,5
OUT816,I,Medium,3,Bitter,More-Bitter,Alphas1,4
OUT817,NB,Medium,3,Bitter,Less-bitter,Alphas1,4
OUT818,B,Small,0,Bitter,Less-bitter,Alphas1,4
OUT819,NB,Medium,3,Non-Bitter,Less-bitter,Other,6
OUT820,B,Medium,0,Bitter,Less-bitter,Alphas1,4
OUT821,B,Small,1,Non-Bitter,Less-bitter,Kappa,4
OUT822,NB,Small,0,Non-Bitter,Less-bitter,Alphas1,5
OUT823,NB,Small,0,Non-Bitter,Less-bitter,Alphas1,13
OUT824,NB,Medium,0,Non-Bitter,Less-bitter,Alphas1,7
OUT825,NB,Medium,0,Non-Bitter,Less-bitter,Alphas1,12
OUT826,NB,Medium,0,Non-Bitter,Less-bitter,Alphas1,4
OUT827,B,Small,2,Non-Bitter,Less-bitter,Alphas1,14
OUT828,NB,Medium,2,Non-Bitter,Less-bitter,Alphas1,14
OUT829,NB,Medium,2,Non-Bitter,Less-bitter,Alphas1,14
OUT830,NB,Medium,2,Non-Bitter,Less-bitter,Alphas1,14
OUT831,NB,Medium,2,Non-Bitter,Less-bitter,Alphas1,11
OUT832,NB,Medium,2,Non-Bitter,More-Bitter,Alphas1,5
OUT833,NB,Medium,3,Non-Bitter,More-Bitter,Alphas1,11
OUT834,NB,Medium,3,Non-Bitter,Less-bitter,Alphas1,11
OUT835,NB,Medium,0,Bitter,Less-bitter,Other,8
OUT836,B,Medium,1,Non-Bitter,Less-bitter,Kappa,9
OUT837,B,Medium,1,Non-Bitter,More-Bitter,Kappa,13
OUT838,NB,Medium,1,Bitter,More-Bitter,Beta,4
OUT839,NB,Medium,1,Bitter,More-Bitter,Beta,4
OUT840,NB,Medium,1,Bitter,Less-bitter,Beta,5
OUT841,NB,Small,1,Bitter,Less-bitter,Alphas1,6
OUT842,I,Small,0,Non-Bitter,Less-bitter,Alphas1,12
OUT843,NB,Medium,0,Bitter,Less-bitter,Alphas2,4
OUT844,NB,Medium,0,Bitter,Less-bitter,Alphas2,14
OUT845,NB,Medium,1,Bitter,Less-bitter,Alphas1,10
OUT846,NB,Small,0,Non-Bitter,More-Bitter,Beta,8
OUT847,NB,Large,0,Non-Bitter,Less-bitter,Beta,6
OUT848,NB,Medium,0,Non-Bitter,Less-bitter,Alphas1,11
OUT849,NB,Medium,0,Non-Bitter,Less-bitter,Alphas1,10
OUT850,NB,Medium,0,Non-Bitter,Less-bitter,Alphas1,4
OUT851,NB,Medium,0,Non-Bitter,Less-bitter,Alphas1,11
OUT852,NB,Medium,0,Non-Bitter,Less-bitter,Alphas1,9
OUT853,NB,Medium,0,Non-Bitter,More-Bitter,Alphas1,9
OUT854,NB,Medium,0,Non-Bitter,Less-bitter,Alphas1,7
OUT855,NB,Medium,0,Non-Bitter,Less-bitter,Alphas2,11
OUT856,B,Small,2,Non-Bitter,More-Bitter,Beta,11
OUT857,B,Small,2,Non-Bitter,Less-bitter,Beta,12
OUT858,B,Medium,4,Non-Bitter,More-Bitter,Beta,7
OUT859,B,Medium,5,Non-Bitter,Less-bitter,Beta,5
OUT860,B,Small,3,Non-Bitter,Less-bitter,Beta,14
OUT861,B,Medium,3,Non-Bitter,Less-bitter,Beta,11
OUT862,B,Medium,4,Non-Bitter,More-Bitter,Beta,13
OUT863,B,Medium,6,Non-Bitter,More-Bitter,Beta,10
OUT864,B,Medium,7,Non-Bitter,More-Bitter,Beta,5
OUT865,B,Medium,7,Non-Bitter,More-Bitter,Beta,7
OUT866,B,Medium,7,Non-Bitter,More-Bitter,Beta,6
OUT867,B,Medium,7,Non-Bitter,More-Bitter,Beta,9
OUT868,B,Medium,7,Non-Bitter,More-Bitter,Beta,8
OUT869,B,Medium,7,Non-Bitter,More-Bitter,Beta,9
OUT870,B,Medium,7,Non-Bitter,More-Bitter,Beta,7
OUT871,B,Large,7,Non-Bitter,Less-bitter,Beta,5
OUT872,NB,Small,1,Non-Bitter,Less-bitter,Beta,5
OUT873,NB,Medium,2,Non-Bitter,Less-bitter,Beta,11
OUT874,NB,Medium,2,Non-Bitter,More-Bitter,Beta,10
OUT875,B,Medium,4,Non-Bitter,More-Bitter,Beta,6
OUT876,B,Large,5,Non-Bitter,More-Bitter,Beta,4
OUT877,B,Large,5,Non-Bitter,More-Bitter,Beta,6
OUT878,B,Large,5,Non-Bitter,Less-bitter,Beta,5
OUT879,NB,Medium,0,Bitter,More-Bitter,Beta,12
OUT880,B,Medium,2,Non-Bitter,More-Bitter,Beta,8
OUT881,B,Medium,4,Bitter,More-Bitter,Beta,14
OUT882,B,Medium,4,Bitter,More-Bitter,Beta,13
OUT883,B,Medium,5,Bitter,More-Bitter,Beta,6
OUT884,B,Medium,5,Bitter,More-Bitter,Beta,7
OUT885,B,Medium,5,Bitter,More-Bitter,Beta,10
OUT886,B,Medium,7,Bitter,More-Bitter,Beta,7
OUT887,B,Medium,7,Bitter,More-Bitter,Beta,7
OUT888,B,Medium,8,Non-Bitter,More-Bitter,Beta,8
OUT889,B,Large,11,Bitter,More-Bitter,Beta,7
OUT890,B,Large,11,Bitter,Less-bitter,Beta,7
OUT891,NB,Small,1,Non-Bitter,Less-bitter,Kappa,9
OUT892,B,Small,2,Non-Bitter,Less-bitter,Other,14
OUT893,B,Medium,2,Non-Bitter,Less-bitter,Other,8
OUT894,NB,Medium,2,Non-Bitter,Less-bitter,Beta,14
OUT895,NB,Medium,2,Non-Bitter,More-Bitter,Beta,11
OUT896,B,Medium,4,Non-Bitter,More-Bitter,Beta,9
OUT897,B,Medium,5,Non-Bitter,Less-bitter,Beta,4
OUT898,NB,Medium,0,Non-Bitter,More-Bitter,Beta,4
OUT899,NB,Medium,2,Non-Bitter,More-Bitter,Beta,8
OUT900,I,Medium,2,Non-Bitter,Less-bitter,Beta,4
OUT901,B,Small,1,Non-Bitter,Less-bitter,Kappa,4
OUT902,NB,Medium,1,Non-Bitter,Less-bitter,Kappa,5
OUT903,NB,Medium,0,Non-Bitter,Less-bitter,Alphas2,4
OUT904,NB,Medium,0,Bitter,Less-bitter,Alphas1,13
OUT905,NB,Medium,0,Bitter,Less-bitter,Alphas1,5
OUT906,NB,Medium,1,Bitter,Less-bitter,Alphas1,8
OUT907,NB,Medium,1,Bitter,More-Bitter,Alphas1,4
OUT908,NB,Medium,1,Bitter,Less-bitter,Alphas1,6
OUT909,NB,Small,0,Non-Bitter,Less-bitter,Beta,11
OUT910,NB,Small,0,Non-Bitter,Less-bitter,Beta,6
OUT911,NB,Medium,2,Non-Bitter,Less-bitter,Beta,6
OUT912,B,Medium,4,Non-Bitter,Less-bitter,Beta,12
OUT913,B,Medium,4,Non-Bitter,More-Bitter,Beta,7
OUT914,B,Medium,4,Non-Bitter,More-Bitter,Beta,6
OUT915,B,Medium,4,Non-Bitter,More-Bitter,Beta,4
OUT916,B,Medium,6,Non-Bitter,More-Bitter,Beta,7
OUT917,B,Medium,6,Non-Bitter,More-Bitter,Beta,10
OUT918,B,Medium,6,Non-Bitter,More-Bitter,Beta,6
OUT919,B,Medium,6,Non-Bitter,Less-bitter,Beta,6
OUT920,NB,Medium,3,Non-Bitter,Less-bitter,Alphas1,9
OUT921,NB,Medium,3,Non-Bitter,Less-bitter,Alphas1,6
OUT922,NB,Medium,1,Non-Bitter,Less-bitter,Beta,11
OUT923,I,Medium,1,Non-Bitter,Less-bitter,Beta,12
OUT924,B,Medium,2,Non-Bitter,Less-bitter,Beta,14
OUT925,B,Medium,2,Non-Bitter,More-Bitter,Beta,13
OUT926,B,Medium,2,Non-Bitter,More-Bitter,Beta,8
OUT927,I,Medium,2,Non-Bitter,Less-bitter,Beta,5
OUT928,NB,Medium,1,Bitter,Less-bitter,Beta,9
OUT929,NB,Medium,1,Bitter,Less-bitter,Beta,14
OUT930,NB,Medium,1,Bitter,Less-bitter,Beta,5
OUT931,NB,Medium,0,Non-Bitter,Less-bitter,Alphas2,8
OUT932,NB,Medium,0,Non-Bitter,Less-bitter,Beta,7
OUT933,NB,Medium,0,Non-Bitter,Less-bitter,Beta,8
OUT934,NB,Medium,0,Non-Bitter,More-Bitter,Beta,7
OUT935,NB,Medium,2,Non-Bitter,Less-bitter,Beta,4
OUT936,NB,Medium,2,Non-Bitter,Less-bitter,Kappa,8
OUT937,NB,Medium,0,Non-Bitter,Less-bitter,Alphas2,12
OUT938,NB,Medium,0,Bitter,Less-bitter,Alphas2,4
OUT939,NB,Medium,0,Bitter,Less-bitter,Alphas2,11
OUT940,NB,Medium,0,Non-Bitter,Less-bitter,Alphas2,11
OUT941,B,Small,1,Bitter,Less-bitter,Alphas2,9
OUT942,B,Medium,1,Bitter,Less-bitter,Alphas2,4
OUT943,NB,Small,0,Bitter,Less-bitter,Beta,6
OUT944,NB,Medium,0,Bitter,Less-bitter,Beta,9
OUT945,NB,Medium,1,Non-Bitter,Less-bitter,Beta,10
OUT946,I,Medium,1,Non-Bitter,Less-bitter,Beta,9
OUT947,B,Medium,2,Non-Bitter,More-Bitter,Beta,12
OUT948,B,Medium,2,Non-Bitter,More-Bitter,Beta,8
OUT949,B,Medium,2,Non-Bitter,More-Bitter,Beta,8
OUT950,B,Medium,2,Non-Bitter,Less-bitter,Beta,9
OUT951,NB,Medium,2,Bitter,Less-bitter,Other,11
OUT952,B,Small,3,Bitter,Less-bitter,Beta,14
OUT953,B,Small,3,Bitter,Less-bitter,Beta,14
OUT954,B,Medium,3,Bitter,Less-bitter,Beta,13
OUT955,B,Medium,4,Bitter,Less-bitter,Beta,14
OUT956,B,Medium,4,Bitter,More-Bitter,Beta,14
OUT957,B,Medium,4,Bitter,More-Bitter,Beta,4
OUT958,B,Medium,4,Bitter,More-Bitter,Beta,13
OUT959,B,Medium,4,Bitter,More-Bitter,Beta,14
OUT960,B,Medium,4,Bitter,More-Bitter,Beta,6
OUT961,B,Medium,4,Bitter,More-Bitter,Beta,7
OUT962,B,Medium,4,Bitter,More-Bitter,Beta,8
OUT963,B,Medium,5,Bitter,Less-bitter,Beta,5
OUT964,B,Small,3,Non-Bitter,Less-bitter,Beta,14
OUT965,B,Medium,3,Bitter,Less-bitter,Beta,14
OUT966,B,Medium,3,Bitter,Less-bitter,Beta,14
OUT967,B,Medium,4,Bitter,More-Bitter,Beta,14
OUT968,B,Medium,4,Bitter,More-Bitter,Beta,14
OUT969,B,Medium,4,Bitter,More-Bitter,Beta,5
OUT970,B,Medium,4,Bitter,Less-bitter,Beta,10
OUT971,B,Small,2,Bitter,Less-bitter,Other,10
OUT972,B,Medium,2,Bitter,Less-bitter,Other,5
OUT973,B,Medium,2,Bitter,Less-bitter,Other,4
OUT974,B,Small,2,Bitter,Less-bitter,Alphas1,14
OUT975,B,Small,2,Bitter,Less-bitter,Alphas1,12
OUT976,B,Small,2,Bitter,Less-bitter,Alphas1,14
OUT977,B,Medium,2,Bitter,Less-bitter,Alphas1,14
OUT978,B,Medium,2,Bitter,Less-bitter,Alphas1,14
OUT979,B,Medium,2,Bitter,Less-bitter,Alphas1,14
OUT980,B,Medium,2,Bitter,Less-bitter,Alphas1,10
OUT981,B,Medium,2,Bitter,More-Bitter,Alphas1,8
OUT982,I,Medium,2,Bitter,More-Bitter,Alphas1,12
OUT983,B,Medium,2,Bitter,More-Bitter,Alphas1,13
OUT984,I,Medium,2,Bitter,Less-bitter,Alphas1,8
OUT985,NB,Small,0,Non-Bitter,More-Bitter,Alphas2,6
OUT986,B,Medium,2,Bitter,Less-bitter,Other,4
OUT987,B,Medium,2,Bitter,Less-bitter,Other,5
OUT988,B,Medium,2,Non-Bitter,Less-bitter,Beta,12
OUT989,B,Medium,2,Non-Bitter,Less-bitter,Beta,13
OUT990,NB,Small,0,Bitter,Less-bitter,Alphas1,9
OUT991,NB,Small,0,Bitter,Less-bitter,Alphas1,4
OUT992,NB,Medium,0,Bitter,Less-bitter,Alphas1,14
OUT993,NB,Medium,0,Bitter,Less-bitter,Alphas1,5
OUT994,B,Small,2,Non-Bitter,Less-bitter,Kappa,12
OUT995,B,Medium,0,Non-Bitter,Less-bitter,Alphas2,6
OUT996,NB,Medium,0,Non-Bitter,Less-bitter,Alphas2,13
OUT997,I,Medium,0,Non-Bitter,Less-bitter,Alphas2,6
OUT998,NB,Medium,0,Non-Bitter,Less-bitter,Alphas2,10
OUT999,B,Small,2,Bitter,Less-bitter,Beta,11
OUT1000,B,Small,2,Bitter,Less-bitter,Beta,13
OUT1001,B,Medium,3,Bitter,Less-bitter,Beta,11
OUT1002,B,Medium,3,Bitter,Less-bitter,Beta,11
OUT1003,B,Medium,3,Bitter,More-Bitter,Beta,8
OUT1004,B,Medium,3,Bitter,Less-bitter,Beta,4
OUT1005,NB,Small,0,Bitter,Less-bitter,Alphas1,6
OUT1006,B,Medium,0,Bitter,Less-bitter,Alphas1,9
OUT1007,B,Small,1,Non-Bitter,Less-bitter,Alphas2,14
OUT1008,B,Small,1,Non-Bitter,Less-bitter,Alphas2,11
OUT1009,B,Medium,1,Non-Bitter,Less-bitter,Alphas2,13
OUT1010,B,Medium,1,Non-Bitter,Less-bitter,Alphas2,14
OUT1011,NB,Medium,1,Non-Bitter,Less-bitter,Alphas2,11
OUT1012,B,Small,2,Non-Bitter,Less-bitter,Beta,14
OUT1013,B,Small,2,Non-Bitter,Less-bitter,Beta,6
OUT1014,B,Small,2,Non-Bitter,More-Bitter,Beta,4
OUT1015,B,Medium,4,Non-Bitter,More-Bitter,Beta,8
OUT1016,B,Medium,5,Non-Bitter,Less-bitter,Beta,6
OUT1017,NB,Small,0,Non-Bitter,Less-bitter,Beta,11
OUT1018,I,Medium,2,Non-Bitter,Less-bitter,Beta,6
OUT1019,I,Medium,2,Non-Bitter,More-Bitter,Beta,5
OUT1020,B,Medium,4,Non-Bitter,Less-bitter,Beta,4
OUT1021,B,Medium,0,Non-Bitter,Less-bitter,Other,4
OUT1022,B,Small,2,Bitter,Less-bitter,Beta,14
OUT1023,B,Medium,2,Bitter,Less-bitter,Beta,10
OUT1024,B,Medium,2,Bitter,Less-bitter,Beta,10
OUT1025,B,Medium,2,Bitter,Less-bitter,Beta,8
OUT1026,NB,Medium,0,Non-Bitter,Less-bitter,Beta,5
OUT1027,B,Small,1,Bitter,Less-bitter,Beta,14
OUT1028,B,Small,2,Bitter,Less-bitter,Alphas2,14
OUT1029,B,Medium,2,Bitter,Less-bitter,Alphas2,11
OUT1030,B,Medium,2,Bitter,Less-bitter,Alphas2,10
OUT1031,I,Medium,2,Bitter,Less-bitter,Alphas2,9
OUT1032,B,Small,1,Non-Bitter,Less-bitter,Alphas1,14
OUT1033,NB,Medium,2,Bitter,Less-bitter,Alphas1,11
OUT1034,NB,Medium,1,Non-Bitter,Less-bitter,Alphas1,8
OUT1035,NB,Medium,1,Non-Bitter,Less-bitter,Alphas1,11
OUT1036,B,Small,3,Bitter,Less-bitter,Beta,14
OUT1037,B,Small,3,Bitter,Less-bitter,Beta,14
OUT1038,B,Medium,2,Bitter,More-Bitter,Alphas1,11
OUT1039,NB,Medium,2,Bitter,More-Bitter,Alphas1,6
OUT1040,NB,Medium,2,Bitter,Less-bitter,Alphas1,8
OUT1041,B,Small,1,Non-Bitter,Less-bitter,Alphas1,14
OUT1042,I,Small,1,Non-Bitter,Less-bitter,Alphas1,13
OUT1043,B,Medium,1,Non-Bitter,Less-bitter,Alphas1,11
OUT1044,B,Medium,1,Bitter,Less-bitter,Alphas1,9
OUT1045,I,Medium,1,Bitter,Less-bitter,Alphas1,4
OUT1046,B,Medium,1,Bitter,Less-bitter,Alphas1,8
OUT1047,B,Medium,3,Non-Bitter,Less-bitter,Beta,14
OUT1048,B,Medium,3,Non-Bitter,Less-bitter,Beta,14
OUT1049,B,Medium,3,Non-Bitter,Less-bitter,Beta,12
OUT1050,B,Medium,3,Bitter,Less-bitter,Beta,8
OUT1051,B,Medium,3,Non-Bitter,More-Bitter,Beta,10
OUT1052,B,Medium,5,Bitter,Less-bitter,Beta,4
OUT1053,B,Medium,3,Bitter,Less-bitter,Beta,14
OUT1054,NB,Medium,0,Bitter,Less-bitter,Alphas2,5
OUT1055,B,Small,2,Bitter,Less-bitter,Beta,14
OUT1056,B,Small,2,Bitter,Less-bitter,Beta,14
OUT1057,B,Medium,3,Bitter,Less-bitter,Beta,14
OUT1058,B,Medium,3,Bitter,Less-bitter,Beta,10
OUT1059,B,Medium,3,Bitter,Less-bitter,Beta,5
OUT1060,B,Medium,3,Bitter,More-Bitter,Beta,14
OUT1061,B,Medium,3,Bitter,Less-bitter,Beta,7
OUT1062,B,Small,3,Bitter,Less-bitter,Beta,14
